地区,2015,2014,2013,2012,2011,2010,2009
北京,54,54,54,53,53,50,50
天津,28,28,29,28,28,29,28
河北,178,183,182,188,188,187,189
山西,66,65,61,44,45,41,41
内蒙古,130,129,128,129,129,123,127
辽宁,352,293,262,305,188,191,219
吉林,146,146,146,85,83,84,85
黑龙江,141,149,152,153,147,153,151
上海,74,75,76,78,78,79,79
江苏,255,258,242,241,237,234,244
浙江,225,225,217,251,240,240,226
安徽,163,188,191,188,181,185,176
福建,158,158,153,159,165,160,157
江西,127,139,143,138,132,123,122
山东,172,173,168,167,168,166,168
河南,256,259,254,252,250,246,237
湖北,175,178,172,147,136,132,128
湖南,206,232,211,232,228,180,155
广东,314,315,283,337,310,268,265
广西,108,107,75,71,70,71,68
海南,16,17,17,15,15,14,15
重庆,118,116,112,114,114,114,113
四川,317,305,299,264,251,244,241
贵州,148,148,139,128,119,116,111
云南,167,210,200,177,159,141,121
西藏,2,2,2,2,2,3,3
陕西,116,111,106,101,97,99,100
甘肃,79,75,69,67,63,62,58
青海,36,35,32,25,23,21,21
宁夏,39,27,34,38,36,34,38
新疆,164,159,173,180,168,161,160
