地区,2015,2014,2013,2012,2011,2010,2009
北京,2171,2152,2115,2069,2019,1962,1860
天津,1547,1517,1472,1413,1355,1299,1228
河北,7425,7384,7333,7288,7241,7194,7034
山西,3664,3648,3630,3611,3593,3574,3427
内蒙古,2511,2505,2498,2490,2482,2472,2458
辽宁,4382,4391,4390,4389,4383,4375,4341
吉林,2753,2752,2751,2750,2749,2747,2740
黑龙江,3812,3833,3835,3834,3834,3833,3826
上海,2415,2426,2415,2380,2347,2303,2210
江苏,7976,7960,7939,7920,7899,7869,7810
浙江,5539,5508,5498,5477,5463,5447,5276
安徽,6144,6083,6030,5988,5968,5957,6131
福建,3839,3806,3774,3748,3720,3693,3666
江西,4566,4542,4522,4504,4488,4462,4432
山东,9847,9789,9733,9685,9637,9588,9470
河南,9480,9436,9413,9406,9388,9405,9487
湖北,5852,5816,5799,5779,5758,5728,5720
湖南,6783,6737,6691,6639,6596,6570,6406
广东,10849,10724,10644,10594,10505,10441,10130
广西,4796,4754,4719,4682,4645,4610,4856
海南,911,903,895,887,877,869,864
重庆,3017,2991,2970,2945,2919,2885,2859
四川,8204,8140,8107,8076,8050,8045,8185
贵州,3530,3508,3502,3484,3469,3479,3537
云南,4742,4714,4687,4659,4631,4602,4571
西藏,324,318,312,308,303,300,296
陕西,3793,3775,3764,3753,3743,3735,3727
甘肃,2600,2591,2582,2578,2564,2560,2555
青海,588,583,578,573,568,563,557
宁夏,668,662,654,647,639,633,625
新疆,2360,2298,2264,2233,2209,2185,2159
