地区,2015,2014,2013,2012,2011,2010,2009
北京,12187,12187,12187,12187,12187,12187,12187
天津,2506,2363,2334,2334,2334,2236,2236
河北,6399,6412,6478,6611,6627,6522,6517
山西,2837,2729,2999,3427,3401,3348,3270
内蒙古,5373,6765,8356,8501,10997,8537,8330
辽宁,14316,14084,13974,13967,12822,11656,10925
吉林,3668,3643,3596,3957,4718,7377,7322
黑龙江,2578,2787,2766,2718,2653,2589,3136
上海,6341,6341,6341,6341,6341,6341,6341
江苏,15111,14610,14308,13957,13272,12463,11396
浙江,11327,11095,10992,10515,10484,10256,10114
安徽,6059,5930,5852,5569,5573,5041,5704
福建,4368,4318,4299,4501,4481,4362,4334
江西,2179,2115,2113,1950,1891,1719,1627
山东,21568,21311,21635,21421,20158,19632,18815
河南,4810,4663,4658,4628,4214,4101,4026
湖北,8115,7681,7349,9052,9049,9057,9124
湖南,4582,4286,4312,4623,4602,4122,3630
广东,16826,17036,16136,15984,17957,18130,18064
广西,5728,5887,6104,6067,5789,5657,5663
海南,1428,1277,1265,1149,850,833,826
重庆,7027,6643,6134,6106,5697,5696,5591
四川,10778,6426,6433,6205,5999,5773,5492
贵州,2680,2644,1828,1817,1674,1658,1658
云南,3029,2903,3337,2144,2085,1930,1852
西藏,433,362,339,337,948,782,295
陕西,2312,1610,1555,1504,1373,1431,1406
甘肃,1570,1555,1450,1292,1437,1426,1398
青海,688,636,560,512,512,512,512
宁夏,2119,2111,2106,2103,2063,2050,2426
新疆,2835,1692,1620,1559,1430,1268,1249
